event_type,event_day,ocf_bucket,mean_car,n_events
departure,13,4,0.007758607393295979,41837
departure,13,5,0.00873212591249635,29599
departure,14,1,0.007561951900552019,32944
departure,14,2,0.008569973503928309,33894
departure,14,3,0.005049728017870651,38637
departure,14,4,0.007891187925210255,41830
departure,14,5,0.00967306928322926,29589
departure,15,1,0.007113481934655247,32944
departure,15,2,0.008068337163399214,33893
departure,15,3,0.0042908997853001755,38634
departure,15,4,0.007871102169166882,41825
departure,15,5,0.009395811011015477,29580
departure,16,1,0.007073079611139313,32943
departure,16,2,0.009028776783422126,33889
departure,16,3,0.004502394802909216,38623
departure,16,4,0.006852340609338864,41816
departure,16,5,0.009092600992140112,29570
departure,17,1,0.00684208534977281,32943
departure,17,2,0.008489322988292488,33883
departure,17,3,0.004462134792786039,38618
departure,17,4,0.006531583586169322,41812
departure,17,5,0.009166736022964896,29562
departure,18,1,0.007640198703214124,32941
departure,18,2,0.009230957791481382,33877
departure,18,3,0.005162726680474027,38609
departure,18,4,0.00646941483460201,41811
departure,18,5,0.009570378157763576,29556
departure,19,1,0.008615569704225919,32940
departure,19,2,0.010198574633357702,33871
departure,19,3,0.005826219176348009,38597
departure,19,4,0.007037952524859273,41809
departure,19,5,0.010329688412144778,29537
departure,20,1,0.009647843718693807,32939
departure,20,2,0.010959097722707254,33869
departure,20,3,0.006983617062484292,38590
departure,20,4,0.007721941804270435,41804
departure,20,5,0.011277742396496801,29522
departure,21,1,0.009974618947993504,32935
departure,21,2,0.011296124333381228,33864
departure,21,3,0.007226242895711526,38583
departure,21,4,0.007969251103742362,41795
departure,21,5,0.011495172809610618,29511
departure,22,1,0.011473506385086747,32925
departure,22,2,0.012763305047539258,33862
departure,22,3,0.008422738163372344,38569
departure,22,4,0.008875973949329144,41778
departure,22,5,0.01273032115295045,29491
departure,23,1,0.012749293400690212,32896
departure,23,2,0.013576871098134491,33821
departure,23,3,0.009062804359277126,38531
departure,23,4,0.009886413130862682,41740
departure,23,5,0.013622685868912817,29460
departure,24,1,0.01363950209747598,32895
departure,24,2,0.01410381304138866,33817
departure,24,3,0.009278640822520215,38528
departure,24,4,0.01079291630605823,41731
departure,24,5,0.014470322460941943,29445
departure,25,1,0.014166175921951359,32892
departure,25,2,0.014928200109115112,33813
departure,25,3,0.009773841525662361,38517
