date,long,short,long_short,strategy,q,weighting
2023-11-30,0.17437826506024096,0.09271565662650602,0.08166260843373493,tangible_heavy,10,equal
2023-12-29,-0.030127668674698793,-0.05509633734939759,0.024968668674698796,tangible_heavy,10,equal
2024-01-31,0.026665487951807232,0.037076018072289156,-0.010410530120481924,tangible_heavy,10,equal
2024-02-29,0.023163030120481928,0.04220001204819277,-0.019036981927710844,tangible_heavy,10,equal
2024-03-28,-0.034483812121212126,-0.06808709090909092,0.03360327878787879,tangible_heavy,10,equal
2024-04-30,0.0773761090909091,0.0787282909090909,-0.001352181818181808,tangible_heavy,10,equal
2024-05-31,-0.02368841818181818,-0.034237951515151514,0.010549533333333333,tangible_heavy,10,equal
2024-06-28,0.14921189024390244,0.07180043292682926,0.07741145731707318,tangible_heavy,10,equal
2024-07-31,-0.02323432727272727,-0.023446642424242423,0.00021231515151515223,tangible_heavy,10,equal
2024-08-30,0.0344762,0.025044363636363635,0.009431836363636363,tangible_heavy,10,equal
2024-09-30,-0.003439158536585366,0.0005293719512195117,-0.003968530487804878,tangible_heavy,10,equal
2024-10-31,0.07731420731707317,0.1305292424242424,-0.05321503510716924,tangible_heavy,10,equal
2024-11-29,-0.00539796951219512,-0.0816834512195122,0.07628548170731708,tangible_heavy,10,equal
2015-01-30,0.04858929937507098,0.0923965610973687,-0.04380726172229772,tangible_heavy,10,value
2015-02-27,-0.02306955582666463,-0.021096038494793044,-0.001973517331871587,tangible_heavy,10,value
2015-03-31,0.09732769211538676,0.029411774105603087,0.06791591800978368,tangible_heavy,10,value
2015-04-30,0.008975150723586322,-0.048718896694006135,0.05769404741759246,tangible_heavy,10,value
2015-05-29,-0.008029902280354656,-0.03840873551148613,0.030378833231131476,tangible_heavy,10,value
2015-06-30,-0.13066735755478845,-0.06657878235783611,-0.06408857519695234,tangible_heavy,10,value
2015-07-31,0.037413108158919156,-0.06850501923371873,0.10591812739263788,tangible_heavy,10,value
2015-08-31,-0.14272989510065354,-0.09786262537588544,-0.044867269724768094,tangible_heavy,10,value
2015-09-30,0.1508314701198961,0.05874097929241763,0.09209049082747846,tangible_heavy,10,value
2015-10-30,-0.01597065454695127,-0.03511529780136514,0.019144643254413868,tangible_heavy,10,value
2015-11-30,-0.0872991046207741,-0.05755391103219711,-0.02974519358857699,tangible_heavy,10,value
2015-12-31,-0.16709552394400667,-0.10822352780011077,-0.058871996143895905,tangible_heavy,10,value
2016-01-29,0.03053438040725685,0.03130133411177656,-0.0007669537045197107,tangible_heavy,10,value
2016-02-29,0.22262915586099094,0.09906863031306849,0.12356052554792245,tangible_heavy,10,value
2016-03-31,0.19465081637483314,0.05291361360281224,0.1417372027720209,tangible_heavy,10,value
2016-04-29,0.024425638819528604,-0.005592205506527193,0.030017844326055795,tangible_heavy,10,value
2016-05-31,0.03584502269281592,0.003055742037616537,0.032789280655199385,tangible_heavy,10,value
2016-06-30,0.05565350689814769,0.017345920191208154,0.03830758670693953,tangible_heavy,10,value
2016-07-29,-0.054489032642244625,0.03070645252447291,-0.08519548516671754,tangible_heavy,10,value
2016-08-31,0.03491243332359422,0.0035998758072183306,0.03131255751637589,tangible_heavy,10,value
2016-09-30,-0.05904492681067819,-0.03189146015299398,-0.027153466657684207,tangible_heavy,10,value
2016-10-31,0.18547686402823008,0.02986837262267381,0.15560849140555627,tangible_heavy,10,value
2016-11-30,-0.0009121295605938293,0.034238800768078045,-0.03515093032867187,tangible_heavy,10,value
2016-12-30,0.07873467511568585,0.03527106197612622,0.04346361313955963,tangible_heavy,10,value
2017-01-31,0.0024478885865441766,0.01877139650759319,-0.016323507921049012,tangible_heavy,10,value
2017-02-28,-0.03136625851274328,0.0040665903820920205,-0.0354328488948353,tangible_heavy,10,value
2017-03-31,-0.014953218194986339,0.01615624715767994,-0.03110946535266628,tangible_heavy,10,value
2017-04-28,-0.003853714881779688,0.007263774491842186,-0.011117489373621874,tangible_heavy,10,value
2017-05-31,0.0012195110962929018,0.001394327774224215,-0.00017481667793131325,tangible_heavy,10,value
2017-06-30,-1.4192894230431825e-05,0.02241933977592108,-0.022433532670151513,tangible_heavy,10,value
2017-07-31,-0.023955381666255857,-0.008543036930009996,-0.01541234473624586,tangible_heavy,10,value
2017-08-31,0.12048188373143082,0.001875198478758403,0.11860668525267241,tangible_heavy,10,value
2017-09-29,-0.00526859605033795,0.003100572357912586,-0.008369168408250537,tangible_heavy,10,value
2017-10-31,0.05285599675723694,0.006203228654367683,0.04665276810286926,tangible_heavy,10,value
2017-11-30,0.0627104331895013,0.027123181537271224,0.035587251652230076,tangible_heavy,10,value
2017-12-29,0.0020841909707173135,0.044197575507496464,-0.04211338453677915,tangible_heavy,10,value
2018-01-31,-0.038226066532919205,-0.06991898034784008,0.03169291381492088,tangible_heavy,10,value
2018-02-28,0.008028176895984966,-0.04648447340253827,0.05451265029852324,tangible_heavy,10,value
2018-03-29,0.02490049235903009,0.008058914366260826,0.016841577992769266,tangible_heavy,10,value
2018-04-30,0.008923510193818993,-0.002577910096932787,0.01150142029075178,tangible_heavy,10,value
2018-05-31,0.019203356669856324,0.045624798640884236,-0.02642144197102791,tangible_heavy,10,value
2018-06-29,0.02264341328559822,0.03247958133122806,-0.00983616804562984,tangible_heavy,10,value
