date,one_way_turnover,strategy,q,weighting
2022-10-31,0.608049384690423,all,5,value
2022-11-30,0.7509758494598971,all,5,value
2022-12-30,0.83840366174328,all,5,value
2023-01-31,0.9545326905557543,all,5,value
2023-02-28,0.7233337377054683,all,5,value
2023-03-31,0.4206703264422664,all,5,value
2023-04-28,0.6031531232179973,all,5,value
2023-05-31,0.4777381167771373,all,5,value
2023-06-30,1.2709392228579548,all,5,value
2023-07-31,0.8577459228726698,all,5,value
2023-08-31,0.9538309204893566,all,5,value
2023-09-29,0.33185496056470265,all,5,value
2023-10-31,0.7006863350579174,all,5,value
2023-11-30,0.7644733947102047,all,5,value
2023-12-29,0.8887087972290706,all,5,value
2024-01-31,0.707402331874429,all,5,value
2024-02-29,0.28812037700982224,all,5,value
2024-03-28,0.8420626635267032,all,5,value
2024-04-30,0.7763083937843309,all,5,value
2024-05-31,1.1214512610303398,all,5,value
2024-06-28,1.3322808176243972,all,5,value
2024-07-31,0.6907084115308038,all,5,value
2024-08-30,1.4063652691493786,all,5,value
2024-09-30,1.4223744271645447,all,5,value
2024-10-31,0.30381829218577006,all,5,value
2024-11-29,0.6883523429063235,all,5,value
2018-12-31,,all_high_spread_months,5,value
2019-01-31,1.1217616026944617,all_high_spread_months,5,value
2019-02-28,1.0874822045827681,all_high_spread_months,5,value
2019-05-31,1.0141470238671115,all_high_spread_months,5,value
2019-06-28,1.3905622782894957,all_high_spread_months,5,value
2019-07-31,1.6285088057768438,all_high_spread_months,5,value
2019-08-30,1.4899497122420722,all_high_spread_months,5,value
2019-09-30,1.5069386163716894,all_high_spread_months,5,value
2019-10-31,1.0138012266351744,all_high_spread_months,5,value
2019-11-29,1.3168548275283083,all_high_spread_months,5,value
2019-12-31,1.246202563229656,all_high_spread_months,5,value
2020-03-31,1.1699686524183575,all_high_spread_months,5,value
2020-04-30,1.3525959896242914,all_high_spread_months,5,value
2020-06-30,1.2046603798745548,all_high_spread_months,5,value
2021-01-29,1.8139565448852966,all_high_spread_months,5,value
2021-03-31,0.9544473409878336,all_high_spread_months,5,value
2021-04-30,0.4074520868834187,all_high_spread_months,5,value
2021-05-28,0.8934159087948663,all_high_spread_months,5,value
2021-06-30,1.1169972382462003,all_high_spread_months,5,value
2021-08-31,0.7062705521127898,all_high_spread_months,5,value
2021-09-30,0.4840049021692978,all_high_spread_months,5,value
2021-11-30,0.6499765757065322,all_high_spread_months,5,value
2021-12-31,0.624145231658338,all_high_spread_months,5,value
2022-01-31,1.760149032457426,all_high_spread_months,5,value
2022-02-28,0.6442855506681032,all_high_spread_months,5,value
2022-03-31,0.4080063348864027,all_high_spread_months,5,value
2022-04-29,0.7276873501397957,all_high_spread_months,5,value
2022-05-31,0.7640563893421266,all_high_spread_months,5,value
2022-06-30,0.9404217893327783,all_high_spread_months,5,value
2022-07-29,0.8075719342023977,all_high_spread_months,5,value
2022-08-31,0.8384216450595662,all_high_spread_months,5,value
2022-09-30,0.5299301467011733,all_high_spread_months,5,value
2022-10-31,0.608049384690423,all_high_spread_months,5,value
2022-11-30,0.7509758494598971,all_high_spread_months,5,value
2022-12-30,0.83840366174328,all_high_spread_months,5,value
2023-01-31,0.9545326905557543,all_high_spread_months,5,value
2023-02-28,0.7233337377054683,all_high_spread_months,5,value
2023-03-31,0.4206703264422664,all_high_spread_months,5,value
2023-04-28,0.6031531232179973,all_high_spread_months,5,value
2023-05-31,0.4777381167771373,all_high_spread_months,5,value
2023-06-30,1.2709392228579548,all_high_spread_months,5,value
2023-07-31,0.8577459228726698,all_high_spread_months,5,value
2023-08-31,0.9538309204893566,all_high_spread_months,5,value
2023-09-29,0.33185496056470265,all_high_spread_months,5,value
2023-10-31,0.7006863350579174,all_high_spread_months,5,value
2023-11-30,0.7644733947102047,all_high_spread_months,5,value
2023-12-29,0.8887087972290706,all_high_spread_months,5,value
2024-01-31,0.707402331874429,all_high_spread_months,5,value
2024-02-29,0.28812037700982224,all_high_spread_months,5,value
2024-04-30,0.4029888196275101,all_high_spread_months,5,value
2024-05-31,1.1214512610303398,all_high_spread_months,5,value
2024-06-28,1.3322808176243972,all_high_spread_months,5,value
2024-07-31,0.6907084115308038,all_high_spread_months,5,value
2024-09-30,0.4786766252414996,all_high_spread_months,5,value
2024-10-31,0.30381829218577006,all_high_spread_months,5,value
2015-01-30,,nonmicrocap,5,equal
