strategy,q,weighting,n_obs,n_months,mean_turnover,mean_ann,vol_ann,sharpe,max_drawdown,net10_mean_ann,net10_sharpe,alpha_month,alpha_ann,t_alpha,boot_mean_ann,boot_ci_low,boot_ci_high,nw_t_monthly_return
intangible_heavy,5,equal,192762,119,0.545019621308684,0.16194720925347528,0.16852267340313612,0.9609817241984338,-0.16438728053806806,0.15546193375958375,0.9227023647075261,0.01359713299170008,0.16316559590040094,3.1284991412434553,0.15817903040607273,0.06569665726596115,0.26828531569466535,3.0843905863070433
low_analyst_intangible,5,equal,50592,83,0.6202410932788275,0.16845738295443496,0.17790990822050234,0.9468690341048803,-0.18468654982100619,0.1611041632461655,0.9056277655318872,0.013252825853996255,0.15903391024795505,2.2187949194537233,0.1750388239041473,0.06059788133390158,0.3097899687494923,1.977389532823327
all_high_spread_months,5,equal,185668,55,0.5469071473688705,0.13219049415737502,0.15613467853779142,0.8466440344665592,-0.20786456044864388,0.12574693358473812,0.8056526801075179,0.012172195176841321,0.14606634212209585,2.1973871765725668,0.12747135277917399,-0.010257302578543466,0.2625999905843203,1.776790524743961
nonmicrocap,10,value,314024,119,0.9339845236690327,0.18419286657811418,0.22138937122925356,0.8319860414047539,-0.32302297969485905,0.17307923560739696,0.7816538691650934,0.01557493995065303,0.18689927940783635,2.279348051450061,0.18548016978529253,0.06488242796538897,0.35708588115645984,2.3440829743255795
low_analyst_coverage_high_spread_months,5,equal,53282,43,0.6167792080045517,0.1252223143185646,0.1712447465231089,0.7312476257580625,-0.22975978867126612,0.11799308825265081,0.688976257752912,0.010561796442539562,0.12674155731047476,1.4297042696585622,0.09073317480431395,-0.09904843318329476,0.2933602893715703,1.1138899022833344
all,10,value,392596,119,0.959824764146424,0.17208469457773837,0.26040314588670177,0.6608395378318905,-0.34710952979289544,0.16066358645982784,0.6169917971558257,0.013468005952852156,0.16161607143422588,2.21612168719472,0.20140083512730958,0.06464245452060813,0.3507587334690077,2.032532116277172
high_analyst_coverage,10,value,112869,83,0.9003241215917954,0.13845982616346256,0.21060609064921285,0.657435052028397,-0.31030590221458443,0.1277861040472418,0.6065070210824153,0.008583783053888855,0.10300539664666625,1.1967266475512826,0.10836337762901446,-0.0773028190834096,0.2644895129500724,1.6163324257174974
intangible_heavy,5,value,192762,119,0.9033887069106878,0.142965904821058,0.2177334847468566,0.6566096390147542,-0.350180439918621,0.13221633835899463,0.6067454923524664,0.013897499570331975,0.1667699948439837,1.8583947732608581,0.15353118210025013,-0.012802704221717646,0.3267131151498757,1.6706081582616228
tangible_heavy,10,value,192704,119,1.0135913975027475,0.16167012232493141,0.2557161297770583,0.6322249694060391,-0.39858437870844965,0.14960923645212554,0.5852532397213213,0.01246276058250983,0.14955312699011797,1.737990424865775,0.17509789370261267,0.03548484352510086,0.34819591665428634,1.811736079585624
nonmicrocap,10,equal,314024,119,0.6896245615274074,0.08275482814777091,0.13446411605683906,0.6154417295450764,-0.294183681903741,0.07454887538203298,0.5543558069802198,0.007485842150182614,0.08983010580219136,1.9461837343277433,0.10176591429077311,0.01946085776772501,0.18650762247513442,1.8170252633557549
nonmicrocap_high_spread_months,10,value,148296,55,0.8847651855653867,0.14728223253995115,0.2393162079298422,0.6154294095414061,-0.26970997295388954,0.13685808999001725,0.5714424355695473,0.0153840341852545,0.18460841022305402,1.2107001755242883,0.12857943119270715,-0.06566400271835611,0.3927876632107746,1.1133377442052543
all,5,value,392596,119,0.9533257906804781,0.10846105422077866,0.18325136423036106,0.5918703780258616,-0.42515920214845493,0.09711727842579082,0.5301261779028932,0.010032930253301233,0.1203951630396148,1.5451584251350652,0.10263737758455174,-0.022511843270357587,0.24167874483885982,1.619022237812341
