variant,signal,q,weighting,n_obs,n_months,mean_turnover,mean_ann,vol_ann,sharpe,max_drawdown,alpha_month,alpha_ann,t_alpha,boot_mean_ann,boot_ci_low,boot_ci_high
high_vix,ocf_no_bench_credit,5,equal,438927,126,0.10885913244221422,0.04712118519036643,0.2014550068620507,0.2339042644029858,-0.5155378629838828,0.005890469726269441,0.07068563671523329,1.1231385290562976,0.05384827367284147,-0.09882314992305927,0.2065040775230299
high_vix,ocf_no_bench_credit,5,value,438927,126,0.2041736712440446,-0.002309515830109159,0.1526885598884349,-0.015125663846699814,-0.42296424631992424,0.001574750960076463,0.018897011520917557,0.5786333605625276,-0.0008126534271825292,-0.0808593502631313,0.0794640897416914
low_vix,ocf,5,equal,430398,126,0.2983070224240238,-0.029804800188557763,0.09742480235977141,-0.30592620633187695,-0.45137808013677905,-0.0038455103380230023,-0.04614612405627603,-1.6530867053702407,-0.042041356099750814,-0.08918524364419171,0.00619047110103656
low_vix,ocf,5,value,430398,126,0.4823503464450663,0.014727317936646882,0.08503579571922709,0.17318962928592846,-0.2014771070674689,0.0001411202268780294,0.0016934427225363527,0.0561357601380812,0.0032987780779331305,-0.03969832869489642,0.03977178261705651
low_vix,ocf_kpc_only,5,equal,430398,126,0.09954946217949023,-0.029443336691171995,0.08952052309597176,-0.32890040934643383,-0.37041757192032876,-0.006117152934622516,-0.0734058352154702,-2.2128868130270494,-0.029829048067187686,-0.05957233162601913,0.0036498483225803056
low_vix,ocf_kpc_only,5,value,430398,126,0.1995816503720394,-0.051490158341189335,0.08711859496171163,-0.5910352246132884,-0.4712755824295678,-0.005682082969612927,-0.06818499563535513,-2.4821273314633197,-0.052812565462747534,-0.0942994981524684,-0.018188583245852583
low_vix,ocf_core_roles,5,equal,430398,126,0.550302435507012,-0.04451617786116714,0.0747974966515895,-0.5951559858817969,-0.45045182312552245,-0.006938770355663867,-0.0832652442679664,-3.324162205549414,-0.04539120570478798,-0.07009323406441674,-0.014030114070120532
low_vix,ocf_core_roles,5,value,430398,126,0.9487747447905721,-0.019466960542425978,0.08312743611285459,-0.23418213591957113,-0.3540519874080952,-0.0043389861538815876,-0.05206783384657905,-2.107757935693141,-0.02853732242430332,-0.06064136055400548,0.006145646064576086
low_vix,ocf_no_bench_credit,5,equal,430398,126,0.11839011746210432,-0.024391468028758374,0.10439446603213426,-0.23364713625002206,-0.45366452757693954,-0.002949491957519746,-0.03539390349023695,-1.0956100810911664,-0.03915581301772109,-0.09160546994498808,0.014826943101552269
low_vix,ocf_no_bench_credit,5,value,430398,126,0.21426135971021396,0.011447092840297332,0.07586067765562797,0.15089626396776715,-0.17643667905142002,0.002734693943542941,0.03281632732251529,1.014501798452355,0.008716535237183635,-0.035683385148659194,0.04915688102243076
recession,ocf,5,equal,75966,20,0.35875159383895633,0.12340071293958071,0.17410870745241136,0.7087567000249513,-0.17628290200442032,,,,,,
recession,ocf,5,value,75966,20,0.5443617831091273,0.10268545241186035,0.10758876910647483,0.9544253853321629,-0.06785249041783104,,,,,,
recession,ocf_kpc_only,5,equal,75966,20,0.16095906526482912,0.05273470487442942,0.14330278456421278,0.3679949767535706,-0.17446686684541024,,,,,,
recession,ocf_kpc_only,5,value,75966,20,0.277999897196207,0.05010116225038461,0.10477464478169088,0.47818021578384456,-0.15313531412141257,,,,,,
recession,ocf_core_roles,5,equal,75966,20,0.5750491581331592,0.037011839113554615,0.1285223700910057,0.28797974303887186,-0.15917378523467507,,,,,,
recession,ocf_core_roles,5,value,75966,20,1.0185359307065487,-0.001088043249293355,0.14114846690686292,-0.007708502069748319,-0.18954839651120714,,,,,,
recession,ocf_no_bench_credit,5,equal,75966,20,0.19358251815968414,0.15352393736417136,0.18668681463357728,0.822360902485283,-0.16827469037430942,,,,,,
recession,ocf_no_bench_credit,5,value,75966,20,0.2870614457415049,0.09937873946682627,0.11150314546354398,0.8912640002547569,-0.0605425734393904,,,,,,
expansion,ocf,5,equal,793359,232,0.26762582350964714,-0.007313034504313223,0.14905267685169277,-0.0490634228031321,-0.6246045535398752,0.00043098436810161053,0.005171812417219326,0.11195050172792086,-0.012602111755289759,-0.09119498025647675,0.07373434933944402
expansion,ocf,5,value,793359,232,0.4458997834969979,0.0012844707588906417,0.1268270169727956,0.010127737681996894,-0.48592395400974553,0.002081876996596748,0.02498252395916098,0.9564084758028133,-0.007175307091818269,-0.059231428089277734,0.04746897985508287
expansion,ocf_kpc_only,5,equal,793359,232,0.07106939027986958,-0.041748608305753485,0.13030979038440174,-0.3203796751003818,-0.6868417964926385,-0.00451657306997123,-0.054198876839654755,-2.0068985956082868,-0.04524112999753211,-0.10430363994969745,0.008870894196523975
