event_day,ocf_bucket,mean_car,median_car,n_events
40,4,0.014072989759516536,0.00514219774268887,85281
40,5,0.01902435449497858,-0.0016277678194728251,61963
41,1,0.020517870715088544,0.016018517113318476,66746
41,2,0.01940013277038657,0.012009470912861753,68764
41,3,0.014534074284859375,0.008293214224808776,78226
41,4,0.014331115476199781,0.0049404047906439486,85240
41,5,0.020089591441693266,-0.0018222124801766104,61932
42,1,0.021399551333527125,0.0169642026615322,66738
42,2,0.020793789495286433,0.01324189563245759,68757
42,3,0.015475490682623614,0.008745707491085497,78217
42,4,0.015538815190707508,0.0055875909020228764,85223
42,5,0.02087327886236818,-0.001664408561479036,61908
43,1,0.022199112270989797,0.017591565205390847,66727
43,2,0.02200522043833906,0.013833730071071138,68749
43,3,0.016334427451021465,0.009500227586286103,78212
43,4,0.0166492338887039,0.00668203791651778,85217
43,5,0.02217681007782637,-0.00024323869349462957,61890
44,1,0.02258559354054646,0.01870089108213291,66725
44,2,0.02232915818811309,0.014229725150887162,68744
44,3,0.016927868772989768,0.009663543983254641,78205
44,4,0.01752835831023402,0.007532256368276258,85209
44,5,0.02325493918747862,-0.0009918014397216623,61878
45,1,0.022959132347222386,0.01865637491764005,66678
45,2,0.022838502744033706,0.015229388198106042,68694
45,3,0.017426095680733004,0.011004099091020736,78166
45,4,0.017968333168435192,0.0081931972255187,85159
45,5,0.023178350318908855,-0.0010573319699208605,61858
46,1,0.02291736970984794,0.019173112715489937,66677
46,2,0.023082854254425144,0.015384903063251798,68679
46,3,0.01776895839687056,0.010061080871509587,78152
46,4,0.01860347325615817,0.00835556407943594,85141
46,5,0.02346234082128859,-0.0011598307875023695,61831
47,1,0.023052378190240183,0.019318405520229565,66675
47,2,0.023458779131083282,0.015393082808578873,68677
47,3,0.017968263084361245,0.010137555167860857,78144
47,4,0.01850900351747209,0.007820879743152043,85139
47,5,0.024215099770862305,-0.002102978818720125,61816
48,1,0.022563256296473346,0.0189882212622996,66673
48,2,0.023049893639767033,0.014900304905914874,68672
48,3,0.017250784604115176,0.0102932336704602,78136
48,4,0.017508893344044756,0.006555066360269368,85129
48,5,0.023685436978949207,-0.0027781667964992263,61798
49,1,0.02296722777458964,0.019565183894119986,66671
49,2,0.02309197074282541,0.014728104888176108,68670
49,3,0.018083595277180002,0.011270845603407631,78128
49,4,0.018215783105780863,0.007229621055952373,85121
49,5,0.0239647703330669,-0.002307705905322144,61789
50,1,0.023126944142331452,0.01969023761708688,66669
50,2,0.023114236504029575,0.015375158978309766,68666
50,3,0.018345502546762125,0.01094733553661098,78117
50,4,0.018344821029583777,0.006979840858069797,85100
50,5,0.02353737458300207,-0.0030700340843801133,61775
51,1,0.023360977089759337,0.01997390060213089,66668
51,2,0.0232152094819841,0.015703741980594765,68654
51,3,0.018639178875558392,0.011319729923908284,78109
51,4,0.018725706215608377,0.006846463320917762,85082
51,5,0.022934659988189547,-0.00272795366397105,61759
52,1,0.024146982604441435,0.021057031373366675,66652
52,2,0.024231727892785788,0.016356929472126414,68650
52,3,0.01932076441536409,0.012282568143464623,78104
52,4,0.01885122732678002,0.007391228300825059,85075
52,5,0.023120748593335474,-0.0034273499483891134,61753
53,1,0.024227679018547155,0.02126602538833433,66643
53,2,0.024660218813655318,0.016670686017904668,68642
53,3,0.01957160304700823,0.012697544377573311,78100
53,4,0.019355657567828366,0.007874774178910915,85065
53,5,0.02345940449066024,-0.0019935974687705915,61739
54,1,0.0250505134022914,0.021883454489218357,66639
54,2,0.025284455526416057,0.017075727979906308,68635
54,3,0.02031358822198779,0.012843127177889269,78095
54,4,0.01967080471431968,0.008643432065889023,85057
54,5,0.02357186245191214,-0.002913914005401197,61728
55,1,0.025842910337492603,0.022437684846418726,66635
55,2,0.026163725826880296,0.018183752959466615,68623
55,3,0.021122258238010342,0.013753732154770937,78085
55,4,0.020585646029128428,0.0092513047018552,85043
55,5,0.024190740967196613,-0.0015307380045239682,61719
56,1,0.02536747289850761,0.022594428918129905,66635
56,2,0.02571854676968293,0.017144120360064852,68611
56,3,0.020689029346154974,0.013813872015417061,78076
56,4,0.019998433030730123,0.00840098229302999,85035
56,5,0.02451412457022213,-0.002961374960112395,61702
57,1,0.02536684246709981,0.021579422842547324,66634
57,2,0.02609474724400917,0.017044389031421914,68608
57,3,0.020978039887478584,0.012960892369040744,78072
57,4,0.02016582556108305,0.007948739637632984,85013
57,5,0.024806294116837272,-0.002928605661871586,61691
58,1,0.02619720578335481,0.02206000261064478,66633
58,2,0.026449253698092683,0.017048198056355268,68600
58,3,0.021036164045401217,0.013143136225260976,78063
58,4,0.02066350335625965,0.008730188905002656,85000
58,5,0.02524046541294497,-0.002661617028296981,61674
59,1,0.026547220617496783,0.020957207152482837,66630
59,2,0.026954959627609104,0.017468879287804162,68593
59,3,0.02177856918570136,0.013070289728125184,78057
59,4,0.02068415541842043,0.008678548409581044,84992
59,5,0.025402520655876403,-0.0035464662597206043,61662
60,1,0.027495803455387085,0.021719323168480242,66624
60,2,0.027453505507728116,0.016563297120745668,68585
60,3,0.02197357915804542,0.013761808697209554,78045
60,4,0.0210143053868919,0.008226516452837562,84972
60,5,0.025804124308558204,-0.0038595915135470893,61651
