year,sic2,ocf_bucket,n_obs,mean_ocf,mean_next_excess_return,total_mktcap
1995,26,3,88,-0.17790229089120566,0.021238193181818184,112567547.75
1995,26,4,70,0.874445722089555,0.01973192857142857,440927943.125
1995,26,5,88,2.2425719824566586,-0.005454295454545454,87739989.125
1995,27,1,46,-3.297879707329141,0.02822647826086957,37550749.625
1995,27,2,112,-1.056549854493147,0.022933491071428575,152845251.5625
1995,27,3,170,-0.10911857044445095,0.02476170588235294,193834230.0625
1995,27,4,115,0.6982764400810635,0.013069808695652173,237865864.3125
1995,27,5,30,2.8130943502583534,-0.0191466,8247284.03125
1995,28,1,121,-8.959605437965553,0.036846371900826444,8746613.71875
1995,28,2,143,-1.0062523546937387,0.03065454545454546,31068859.28125
1995,28,3,289,-0.13174895180590052,0.02940469097222222,648024029.375
1995,28,4,442,0.8060712432504328,0.045988649321266964,3167054817.34375
1995,28,5,947,3.5267253576746347,0.07150773917634635,1297070178.07811
1995,29,1,13,-2.1757641386136566,0.08826046153846154,3552917.25
1995,29,2,31,-1.0821926169595721,-0.019110096774193546,137128244.59375
1995,29,3,73,-0.14003173914768727,0.026587191780821917,1480019981.75
1995,29,4,28,0.88307216724309,-0.008113500000000001,57554259.5625
1995,29,5,14,1.9923773240873068,-0.007448214285714285,18519815.125
1995,30,1,88,-2.293744845077771,0.008844704545454546,44844638.5
1995,30,2,26,-0.9275132484236389,0.08036650000000001,6266431.125
1995,30,3,43,-0.22774091885398445,-0.010378511627906976,7981770.375
1995,30,4,58,0.8049004078422929,0.006094172413793104,98289818.8125
1995,30,5,25,2.2103301744752466,-0.015622480000000001,6203721.875
1995,31,1,33,-3.660351650429469,0.02716578787878788,44036189.875
1995,31,2,12,-0.7109858777118903,0.014157999999999999,177961.5
1995,31,3,12,-0.5500917767814835,-0.0338695,323510.25
1995,31,4,48,0.9450004951442036,-0.0227141875,12783690.125
